Accelerated B.A./Master of Public Policy (MPP) Program
Accounting
Aerospace Engineering
African American & African Studies
American Studies
Anthropology
Architectural History
Architecture
Art History
"Art, Studio"
Astronomy
Astronomy-Physics
B.A. in Public Policy and Leadership
B.S./M.S. in Teaching
Bachelor of Science in Nursing (BSN)
Biology
Biomedical Engineering
Chemical Engineering
Chemistry
Chinese Language & Literature
Civil Engineering
Classics
Cognitive Science
Comparative Literature
Computer Engineering
Computer Science
Computer Science
Drama
East Asian Studies
Echols Interdisciplinary Major
Economics
Electrical Engineering
Engineering Science
English
Environmental Sciences
Environmental Thought & Practice
Finance
French
German
Global Studies
History
Human Biology
Information Technology
Italian
Japanese Language & Literature
Jewish Studies
Kinesiology
Latin American Studies
Linguistics
Management
Marketing
Mathematics
Mechanical Engineering
Media Studies
Medieval Studies
Middle Eastern and South Asian Languages and Cultures
Music
Neuroscience
Philosophy
Physics
Political and Social Thought
"Political Philosophy, Policy, and Law"
Politics
Psychology
Religious Studies
RN to BSN
Slavic Languages and Literatures
Sociology
South Asian Studies
Spanish
Speech Pathology & Audiology 
Statistics
Systems Engineering
Teacher Education
Urban & Environmental Planning
"Women, Gender, and Sexuality"
Youth & Social Innovation Major
